,Candidato,Número,Partido,Gênero,Naturalidade,Cor,Estado civil,Grau de instrução,Data de nascimento,Coalisão,Image URL,Idade,Total de recursos recebidos (R$),Fundo partidário,Fundo especial,Outros recursos,Recursos financeiros,Doação de pessoas físicas,Recursos estimáveis,Doação de partidos,Recursos próprios,Limite de gastos (R$),Total de despesas contratadas (R$),Total de despesas pagas (R$),Total de Bens Declarados,Vezes em que concorreu
56,DALTON,12777,PDT,Feminino,NOVA BRÉSCIA / RS,branca,Casada,Superior incompleto,1964-04-04,PDT,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292903.jpeg,60.0,6000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,6000.0,6000.0,0.0,0
57,DALTON SANTOS,10333,REPUBLICANOS,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1963-08-06,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001947376.jpeg,61.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8328.0,8328.0,0.0,2
58,DAN CANHADAS,30303,NOVO,Feminino,SÃO PAULO / SP,branca,Divorciada,Superior completo,1984-05-11,NOVO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001911798.jpeg,40.0,13723.05,0.0,56.98,43.02,84.7,0.0,15.3,15.3,0.0,253058.41,9190.0,9190.0,198000.0,0
59,DANIELA SEBBEN,45456,PSDB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior incompleto,1997-05-08,Federação PSDB CIDADANIA(PSDB/CIDADANIA),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002292444.jpeg,27.0,10000.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,0.0,1
60,DANY NOVAES DA AMORIS,44000,UNIÃO,Feminino,RIO DE JANEIRO / RJ,branca,Casada,Superior completo,1971-02-18,UNIÃO,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002149000.jpeg,53.0,41700.0,0.0,94.6,5.4,100.0,0.0,0.0,0.0,5.4,253058.41,19698.25,14395.0,700000.0,0
61,DECK VIGANO,50150,PSOL,Masculino,FLORIANÓPOLIS / SC,preta,Casado,Superior completo,1977-07-07,Federação PSOL REDE(PSOL/REDE),https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002293294.jpeg,47.0,51967.26,0.0,65.43,34.57,100.0,30.69,0.0,0.0,0.0,253058.41,15511.84,15511.84,0.0,0
62,DÉIA SURF,40013,PSB,Feminino,FLORIANÓPOLIS / SC,branca,Solteira,Superior completo,1984-04-30,PSB,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002291718.jpeg,40.0,,,,,,,,,,,,,0.0,0
63,DELISE STAKE,10477,REPUBLICANOS,Feminino,CAXIAS DO SUL / RS,branca,Casada,Ensino Médio completo,1973-10-29,REPUBLICANOS,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002382286.jpeg,50.0,8333.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,253058.41,8333.0,8333.0,0.0,0
64,DIÁCONO RICARDO,55190,PSD,Feminino,FLORIANÓPOLIS / SC,branca,Casada,Superior completo,1969-03-05,PSD,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240001988763.jpeg,55.0,33876.0,0.0,0.0,100.0,80.62,71.93,19.38,19.38,17.71,253058.41,4759.23,4373.12,26051.51,2
65,DIEGO BARÃO DA NAVALHA,11211,PP,Feminino,URUÇUÍ / PI,branca,Solteira,Superior completo,1987-05-29,PP,https://d99xxpiicwteh.cloudfront.net/data-profile/img/2024/oficial/240002151393.jpeg,37.0,38072.72,0.0,99.29,0.71,18.52,0.0,81.48,81.48,0.13,,,,62026.09,0
